file,channel,sample_rate,status
IRIS-CM.xml,CM.HEL.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.HEL.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.HEL.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.HEL.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.HEL.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.HEL.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.LCBC.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.LCBC.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.LCBC.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.LCBC.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.LCBC.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.LCBC.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.RUS.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.RUS.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.RUS.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.RUS.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.RUS.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.RUS.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.RUS.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.RUS.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.RUS.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.SJC.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.SJC.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.SJC.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.SJC.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.SJC.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.SJC.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.SJC.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.SJC.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.SJC.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.SMAR.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.SMAR.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.SMAR.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.SMAR.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.SMAR.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.SMAR.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.TUM.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.URI.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.URI.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.URI.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.URI.00.BHE,20.0,Non-zero
IRIS-CM.xml,CM.URI.00.BHN,20.0,Non-zero
IRIS-CM.xml,CM.URI.00.BHZ,20.0,Non-zero
IRIS-CM.xml,CM.URI.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.URI.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.URI.00.HHZ,100.0,Non-zero
IRIS-CM.xml,CM.URI.00.HHE,100.0,Non-zero
IRIS-CM.xml,CM.URI.00.HHN,100.0,Non-zero
IRIS-CM.xml,CM.URI.00.HHZ,100.0,Non-zero
IRIS-OV.xml,OV.JUDI..HHE,100.0,Non-zero
IRIS-OV.xml,OV.JUDI..HHN,100.0,Non-zero
IRIS-OV.xml,OV.JUDI..HHZ,100.0,Non-zero
IRIS-OV.xml,OV.JUDI..LOG,0.0,Zero
IRIS-OV.xml,OV.VAVL..HHE,100.0,Non-zero
IRIS-OV.xml,OV.VAVL..HHN,100.0,Non-zero
IRIS-OV.xml,OV.VAVL..HHZ,100.0,Non-zero
IRIS-OV.xml,OV.VRBA..HDF,100.0,Non-zero
IRIS-OV.xml,OV.VRBA..HHE,100.0,Non-zero
IRIS-OV.xml,OV.VRBA..HHN,100.0,Non-zero
IRIS-OV.xml,OV.VRBA..HHZ,100.0,Non-zero
IRIS-OV.xml,OV.VRBA..LCE,1.0,Non-zero
IRIS-OV.xml,OV.VRBA..LCQ,1.0,Non-zero
IRIS-OV.xml,OV.VRBA..VCO,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VEA,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VEC,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VEP,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VKI,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VMU,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VMV,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VMW,0.1,Non-zero
IRIS-OV.xml,OV.VRBA..VPB,0.1,Non-zero
IRIS-AT.xml,AT.AKUT..BHE,50.0,Non-zero
IRIS-AT.xml,AT.AKUT..BHN,50.0,Non-zero
IRIS-AT.xml,AT.AKUT..BHZ,50.0,Non-zero
IRIS-AT.xml,AT.CRAG..BHE,50.0,Non-zero
IRIS-AT.xml,AT.CRAG..BHN,50.0,Non-zero
IRIS-AT.xml,AT.CRAG..BHZ,50.0,Non-zero
IRIS-AT.xml,AT.OHAK..BHE,50.0,Non-zero
IRIS-AT.xml,AT.OHAK..BHN,50.0,Non-zero
IRIS-AT.xml,AT.OHAK..BHZ,50.0,Non-zero
IRIS-AT.xml,AT.SDPT..BHE,50.0,Non-zero
IRIS-AT.xml,AT.SDPT..BHN,50.0,Non-zero
IRIS-AT.xml,AT.SDPT..BHZ,50.0,Non-zero
IRIS-AT.xml,AT.SMY..BHE,20.0,Non-zero
IRIS-AT.xml,AT.SMY..BHN,20.0,Non-zero
IRIS-AT.xml,AT.SMY..BHZ,20.0,Non-zero
IRIS-AT.xml,AT.SMY..BHE,20.0,Non-zero
IRIS-AT.xml,AT.SMY..BHN,20.0,Non-zero
IRIS-AT.xml,AT.SMY..BHZ,20.0,Non-zero
IRIS-AT.xml,AT.SMY..BHE,50.0,Non-zero
IRIS-AT.xml,AT.SMY..BHN,50.0,Non-zero
IRIS-AT.xml,AT.SMY..BHZ,50.0,Non-zero
IRIS-PL.xml,PL.OJC..BHE,20.0,Non-zero
IRIS-PL.xml,PL.OJC..BHN,20.0,Non-zero
IRIS-PL.xml,PL.OJC..BHZ,20.0,Non-zero
IRIS-PL.xml,PL.OJC..HHE,100.0,Non-zero
IRIS-PL.xml,PL.OJC..HHN,100.0,Non-zero
IRIS-PL.xml,PL.OJC..HHZ,100.0,Non-zero
IRIS-PL.xml,PL.OJC..LHE,1.0,Non-zero
IRIS-PL.xml,PL.OJC..LHN,1.0,Non-zero
IRIS-PL.xml,PL.OJC..LHZ,1.0,Non-zero
IRIS-GB.xml,GB.JSA..BHE,50.0,Non-zero
IRIS-GB.xml,GB.JSA..BHN,50.0,Non-zero
IRIS-GB.xml,GB.JSA..BHZ,50.0,Non-zero
IRIS-GB.xml,GB.JSA..HHE,100.0,Non-zero
IRIS-GB.xml,GB.JSA..HHN,100.0,Non-zero
IRIS-GB.xml,GB.JSA..HHZ,100.0,Non-zero
IRIS-AK.xml,AK.A21K..BHE,50.0,Non-zero
IRIS-AK.xml,AK.A21K..BHN,50.0,Non-zero
IRIS-AK.xml,AK.A21K..BHZ,50.0,Non-zero
IRIS-AK.xml,AK.A21K..LHE,1.0,Non-zero
IRIS-AK.xml,AK.A21K..LHN,1.0,Non-zero
IRIS-AK.xml,AK.A21K..LHZ,1.0,Non-zero
IRIS-AK.xml,AK.ANM..BHE,50.0,Non-zero
IRIS-AK.xml,AK.ANM..BHN,50.0,Non-zero
IRIS-AK.xml,AK.ANM..BHZ,50.0,Non-zero
IRIS-AK.xml,AK.ANM..LHE,1.0,Non-zero
IRIS-AK.xml,AK.ANM..LHN,1.0,Non-zero
IRIS-AK.xml,AK.ANM..LHZ,1.0,Non-zero
IRIS-AK.xml,AK.ATKA..BHE,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..BHN,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..BHZ,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..HHE,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..HHN,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..HHZ,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..BHE,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..BHN,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..BHZ,50.0,Non-zero
IRIS-AK.xml,AK.ATKA..LHE,1.0,Non-zero
IRIS-AK.xml,AK.ATKA..LHN,1.0,Non-zero
IRIS-AK.xml,AK.ATKA..LHZ,1.0,Non-zero
IRIS-AK.xml,AK.BESE..BHE,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHN,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHZ,50.0,Non-zero
IRIS-AK.xml,AK.BESE..HHE,50.0,Non-zero
IRIS-AK.xml,AK.BESE..HHN,50.0,Non-zero
IRIS-AK.xml,AK.BESE..HHZ,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHE,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHN,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHZ,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHE,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHN,50.0,Non-zero
IRIS-AK.xml,AK.BESE..BHZ,50.0,Non-zero
IRIS-AK.xml,AK.BESE..LHE,1.0,Non-zero
IRIS-AK.xml,AK.BESE..LHN,1.0,Non-zero
IRIS-AK.xml,AK.BESE..LHZ,1.0,Non-zero
IRIS-AK.xml,AK.CHI..BHE,50.0,Non-zero
IRIS-AK.xml,AK.CHI..BHN,50.0,Non-zero
IRIS-AK.xml,AK.CHI..BHZ,50.0,Non-zero
